FED_NUM,NID,FEDNUM,ENNAME,FRNAME,PROVCODE,CREADT,REVDT,REPORDER,DECPOPCNT,QUIPOPCNT,ENLEGALDSC,FRLEGALDSC,WINPARTY,WINPCT,WINVOTES,TOTALVOTES,BQ,CON,GREEN,IND,LIB,NDP,PPC,OTHER
"24072",{4D155A0E-3AE3-48E7-95BE-F65ABFC01239},"24072",Shefford,Shefford,QC,"20131005",,"2013","107538","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24072&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24072&lang=f#descrip,BQ,"38.584538600000002","23503","60913","23503","7495","2814","0","22605","3705","497","294"
"24071",{800B75BC-E240-42DF-B163-59B7C7D8839E},"24071",Salaberry--Suroît,Salaberry--Suroît,QC,"20131005",,"2013","107036","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24071&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24071&lang=f#descrip,BQ,"47.652735159999999","29975","62903","29975","6116","1997","0","18682","5024","767","342"
"11004",{BFC2CA4F-3314-4C3E-BC69-71118C896589},"11004",Malpeque,Malpeque,PE,"20131005",,"2013","35039","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=11004&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=11004&lang=f#descrip,LIB,"41.377663960000000","9533","23039","0","5908","6103","0","9533","1495","0","0"
"11003",{6ABAF7C3-34AF-493C-9CE6-AFE3AE869E29},"11003",Egmont,Egmont,PE,"20131005",,"2013","34598","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=11003&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=11003&lang=f#descrip,LIB,"39.726434730000001","8016","20178","0","6934","3998","0","8016","1230","0","0"
"11002",{9EBE9B10-6F85-4462-AE14-FA4EB17C5D7F},"11002",Charlottetown,Charlottetown,PE,"20131005",,"2013","34562","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=11002&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=11002&lang=f#descrip,LIB,"44.259166250000000","8812","19910","0","4040","4648","0","8812","2238","0","172"
"11001",{649DB84C-4162-4B5B-8849-87882AA79B71},"11001",Cardigan,Cardigan,PE,"20131005",,"2013","36005","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=11001&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=11001&lang=f#descrip,LIB,"49.348130099999999","10939","22167","0","6439","3068","0","10939","1481","0","240"
"35014",{96392229-0463-4262-831F-9A3F74B47D27},"35014",Bruce--Grey--Owen Sound,Bruce--Grey--Owen Sound,ON,"20131005",,"2013","106475","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=35014&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=35014&lang=f#descrip,CON,"46.130568590000003","26830","58161","0","26830","5114","0","17485","6797","1614","321"
"35013",{750B8C62-763A-42DF-AF08-2BE4116F5FDD},"35013",Brantford--Brant,Brantford--Brant,ON,"20131005","20140619","2013","132443","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=35013&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=35013&lang=f#descrip,CON,"40.273902739999997","26849","66666","0","26849","4257","261","20454","13131","1320","394"
"35012",{218E29D9-7412-48FC-A1E2-66F23FDB1F93},"35012",Brampton West,Brampton-Ouest,ON,"20131005",,"2013","101762","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=35012&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=35012&lang=f#descrip,LIB,"53.542089670000003","28743","53683","0","12824","1271","0","28743","9855","505","485"
"35011",{A702BC91-4354-40FC-A94A-B7B5B24028CB},"35011",Brampton South,Brampton-Sud,ON,"20131005",,"2013","107364","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=35011&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=35011&lang=f#descrip,LIB,"49.473122029999999","24085","48683","0","13828","1926","0","24085","7985","354","505"
